item_id,quality_score
842,92.4722324864479
611,78.5013084925235
711,78.6950927868133
371,92.1657922137841
873,66.4346635149108
948,77.6119598355769
793,69.3043584469067
574,82.3680121103225
5,100
870,66.7741228054145
19,96.2965706721062
217,83.1110996986993
903,91.2158176889912
579,89.7872721111521
175,90.8859110078595
527,73.0999927282737
253,95.0874187807866
460,88.114209447523
462,91.2765696798604
88,73.0804816543288
645,70.3093869565424
792,100
347,96.0186699229458
672,71.1507542493896
563,82.3178261781262
911,84.2505645281352
928,75.2663412201683
824,69.4743611016865
659,85.2987681255024
929,84.3084307773204
840,93.0462539612159
899,92.1817078046475
597,79.2758238097808
909,77.9781355603325
844,74.4605907949326
407,90.1236528244756
82,82.0402465879993
961,77.3641040829044
249,81.7546526161692
403,75.3972944270504
958,100
508,75.5813462975068
616,83.7211166693759
451,62.248293337591
500,86.1105687181381
695,81.3206987917184
506,96.0475406347662
478,96.5798881821835
229,80.0215209740986
161,85.9532284282342
