value,type
49.1621564450187,normal
40.1705625471931,normal
31.249326785952,normal
48.1385533928927,normal
43.6651430184797,normal
60.9079746414669,normal
40.8627272585708,normal
60.0163971155077,normal
46.0073339678063,normal
45.3187694598648,normal
53.2696208288009,normal
45.8725310164814,normal
55.6203646944369,normal
56.6335825997994,normal
43.9710271605883,normal
56.9837768876553,normal
55.9584645045658,normal
54.5209182580142,normal
58.9674395983329,normal
55.7221651468121,normal
45.8834698643385,normal
47.0567285378214,normal
62.1857395731345,normal
52.4411142667231,normal
45.5484804239677,normal
31.5219635560091,normal
43.7117469487349,normal
41.3891930811239,normal
65.1492029804473,normal
77.3523893261411,normal
47.251229361406,normal
62.7665406508942,normal
41.8901965609692,normal
49.5507722391617,normal
43.6058762483579,normal
45.6164400301565,normal
55.0720220101624,normal
61.2921919723672,normal
59.7563765250594,normal
48.753962067589,normal
54.2833657926068,normal
54.1872635988203,normal
54.3546648703329,normal
47.957379061899,normal
53.0235349213565,normal
56.9435779715052,normal
73.7306566359656,normal
60.7597028517558,normal
53.353847751375,normal
57.5342823315326,normal
56.6438627736814,normal
39.0911734373992,normal
45.7722915086344,normal
61.8340203906722,normal
65.8482678928819,normal
72.8085536916773,normal
29.3454294921666,normal
45.918880303688,normal
53.0101456635414,normal
56.9661307767284,normal
59.8818386848334,normal
47.1593676649858,normal
30.7773253143258,normal
38.2628020079168,normal
60.4428274320649,normal
48.6707189825426,normal
58.4487704127424,normal
46.2840745176051,normal
60.475838522476,normal
59.2541567740802,normal
35.2139466741861,normal
40.773650596626,normal
49.1509756286363,normal
41.3348995511555,normal
56.7504236287711,normal
49.192950942108,normal
48.7440738953822,normal
46.1166891459063,normal
50.1682739472733,normal
38.7369341059685,normal
52.1835181159892,normal
67.4303686491593,normal
48.8042146483975,normal
54.8617995495754,normal
51.4136851843307,normal
53.0796764694675,normal
59.9408133780575,normal
44.8218822543451,normal
41.9286361068039,normal
30.7682103679078,normal
36.1086149048353,normal
54.2867002019236,normal
47.0621858112656,normal
72.7999878680494,normal
38.3548923866081,normal
62.408676220725,normal
35.0491614306869,normal
47.6836367190671,normal
41.7513326434045,normal
36.7582686257941,normal
