I,P
20.0524096710763,32167.930689334
19.7739232115776,31280.6431341895
19.9980320281911,31993.7028000447
20.0183139893616,32058.6315981338
19.9638648518271,31884.4719857613
19.9515516007861,31845.1529023064
19.9333687053316,31787.1350354154
19.9825530721043,31944.1941823572
19.8989040332661,31677.3105380106
20.0739696056597,32237.140458316
19.9597703693312,31871.3946557146
19.8997219675295,31679.9147507982
19.9822280792386,31943.1551208569
19.9512100436185,31844.0625763666
20.0927907390347,32297.619174611
19.9225574775166,31752.663715596
20.0422871124617,32135.4618158677
19.9393036611175,31806.0664392202
20.0209374976732,32067.0350628591
19.9222662809932,31751.735501664
19.9297949880054,31775.7382611139
20.0683469171956,32219.0838391131
19.9142312427178,31726.1284790752
20.0367760836368,32117.791666064
19.8570307970525,31544.1337660073
19.9487675177433,31836.2660381575
19.973188962682,31914.2621871203
19.9800767877644,31936.2774755969
20.0856574257523,32274.6907379743
19.9833210637879,31946.6496590743
19.9624328434421,31879.8980023147
19.8865023126939,31637.8379386225
20.0609314753914,32195.2777328279
20.056585531661,32181.3298551067
19.926395141232,31764.8978659612
19.8941448103089,31662.1598186831
19.8682135726136,31579.6728453588
19.9795610213705,31934.6286885333
19.9398611062279,31807.8448748529
20.0660602615893,32211.7419537386
19.9835310171882,31947.3209531938
20.1759531031049,32565.5266894951
20.1612046744027,32517.9339138525
20.080319860383,32257.5396556234
20.126523523064,32406.1559299559
20.0510974789424,32163.7208088041
19.6912379900742,31019.5882865395
20.047422912088,32151.9332332888
20.0625893993483,32200.5994725473
20.0981176639236,32314.7466906333
19.9952290139591,31984.7346656537
19.8480385167748,31515.5706370701
20.079493643796,32254.8851992995
19.9855767489978,31953.8622392065
19.9293502089971,31774.3199802283
20.0610712472087,32195.7263668466
20.108506163831,32348.1616112663
19.9288650753285,31772.7730552519
20.1156288045454,32371.0817761804
20.12355627958,32396.601386994
19.9677544690247,31896.8974828204
20.073277540233,32234.9176965778
19.9712471172279,31908.0569133905
20.2348513280357,32755.9366614167
20.0347664022435,32111.3491833972
19.9654492513542,31889.5331046719
19.9097379889579,31711.8133431164
19.9606144389208,31874.0903023404
19.9036207860426,31692.329631567
20.0769308482243,32246.6521827504
20.0544686232633,32174.5369409163
20.1049720191617,32336.7919913021
20.1192836540138,32382.8459800535
19.9661794462542,31891.865734402
19.8942162457225,31662.3872025256
19.9735644255577,31915.4620689525
20.1501739094125,32482.3606863655
20.0787680396024,32252.5540790527
20.0334699892962,32107.1935849627
19.8372754022177,31481.3996306746
20.1849475462834,32594.5685956969
20.0474933230931,32152.1590831571
19.9012781331301,31684.8697065761
20.025586222176,32081.9282833445
19.8589081015501,31550.0984788649
20.0087841786944,32028.1155447656
20.0314593656806,32100.7491455132
19.9561181943578,31859.7322709742
19.8549971471408,31537.6729370376
20.1323727178833,32424.9945001418
19.9522103025726,31847.2556766468
20.1052535789013,32337.697717754
19.918291986059,31739.068451352
19.8863059312948,31637.213087444
19.7380260038245,31167.1736422123
20.0985782366073,32316.2277706419
20.0198421877488,32063.5264977892
19.9376719584069,31800.8610496836
20.0450018507997,32144.1679358852
20.1499214838218,32481.5468643345
19.9454347433552,31825.6293681152
19.9601031042352,31872.457274536
20.0585380631929,32187.5959386048
20.0163862425554,32052.4574568928
20.0141025413851,32045.1440429663
20.0571783167049,32183.2321622478
20.0707303869355,32226.7374612045
19.8923850761274,31656.5587213548
20.0684776638977,32219.5036597087
19.98239248775,31943.6807627589
20.023868622361,32076.4251684458
19.8041387219714,31376.3128415269
19.7021991860281,31054.1322212741
20.0711146809908,32227.9715629988
19.9649479357055,31887.9316860345
20.0868220182243,32278.4335033457
20.0385639914351,32123.5237471073
19.9208818877155,31747.3228147451
20.0341183371976,32109.2718039068
20.1382254053429,32443.8497981118
19.9189621385814,31741.2042142591
20.0364492398736,32116.7438513624
20.0411053141404,32131.6721769974
20.0961099595406,32308.2908404758
19.979850992972,31935.5556561091
20.0565414769901,32181.1884814579
20.0434270887255,32139.1175568845
20.0013932735854,32004.4586307702
19.9883379737964,31962.6923963769
20.0298828471433,32095.6965496228
19.8712232994704,31589.2412333931
20.0505850845539,32162.0769786349
19.8465208097218,31510.7510600575
20.0217415310323,32069.6107148372
20.0017062268973,32005.4601589682
19.801009213037,31366.3972683821
19.9281466302126,31770.4822492204
20.056679053611,32181.6299727647
19.9936859852288,31979.7983420746
20.3051973067992,32984.0830134438
19.8878352779428,31642.0793634067
19.8173897397239,31418.3148876892
19.9878054628966,31960.9893778078
20.0593665011232,32190.2547541107
19.9735555537422,31915.4337166741
19.9189773289136,31741.2526263818
20.0509962755863,32163.3961314862
20.1191146110388,32382.3018185693
20.185298370043,32595.7016230128
19.9332091791879,31786.6262545007
19.944873005887,31823.8367376769
19.9524292893326,31847.9547636654
20.0186917049681,32059.8414062847
20.1390958357759,32446.6544866053
19.9234269405178,31755.4352843321
20.0147909352555,32047.348494559
19.9597865937366,31871.4464694004
19.9331092478724,31786.3075430094
19.9921384174554,31974.8478802157
20.0710146267477,32227.6502517696
20.1084793904227,32348.0754716043
19.9606935746513,31874.34303849
19.9198443777685,31744.0160027611
19.9980845100422,31993.8707256631
20.1138094988939,32365.2266046234
19.860050980807,31553.7299968204
19.8341762828125,31471.5639054147
19.9321884684909,31783.3709714755
20.1530300941901,32491.5697581866
20.0035964921598,32011.5098096917
19.8580910142376,31547.5022983796
19.9508382720105,31842.8758204736
20.0110904592921,32035.4993095976
20.198339364722,32637.8330473983
20.1240560803059,32398.2106498637
19.9168913837282,31734.604991298
20.0239054868672,32076.5432757591
19.7791364555132,31297.1391140648
19.8104542445443,31396.3277900145
20.0518606919126,32166.1693766295
20.1693459509083,32544.2012869937
19.9932062958964,31978.2638392217
20.0686103866261,32219.9298280157
19.8505612935333,31523.5826934659
20.0463149989959,32148.3796031176
20.1526827199567,32490.4496648994
19.9983391188692,31994.6854010634
19.9389932526505,31805.0761543395
19.9984944463108,31995.1824095299
19.9715996622198,31909.1834454382
19.9020395028609,31687.2941098749
19.909390890689,31710.7076510601
19.8545748414551,31536.3313707953
20.1655086738063,32531.8192058685
20.1031547168619,32330.9463656071
20.1024845921538,32328.7909422224
19.9036714846689,31692.4910855698
19.9940309393892,31980.9018564201
19.7848200409673,31315.128324277
19.9659002009514,31890.9736667481
19.6838467541315,30996.3058432105
19.8344237701664,31472.3493035633
19.8831763604512,31627.2561744646
20.2046798160653,32658.3269175772
19.9571401006249,31862.9952796778
19.918503646325,31739.743000693
19.9893905546171,31966.0587796012
20.0949927801351,32304.6987866945
19.8340495848975,31471.1618348939
20.0233035447436,32074.6147875954
19.9785260657195,31931.3203006906
20.0015771776463,32005.0471674673
